#,Player,UUID,Country,Role,Bowling Style,Bowl Balls,Wickets,Economy,Bat Innings,Bat Runs,Style
3807,Salman Butt,4d6d6280,Pakistan,Batter,,0,0,0.0,31,724,nan
3808,TR Birt,d2d4bb0a,Australia,Batter,,0,0,0.0,31,678,nan
3809,Asad Shafiq,50250426,Pakistan,Batter,,0,0,0.0,31,578,nan
3810,NR Hobson,4312e0fd,Australia,Batter,,0,0,0.0,31,536,nan
3811,TP Visee,881b3f8e,Netherlands,Batter,,0,0,0.0,30,491,nan
3812,T Bharaj,49556abb,Denmark,Batter,,0,0,0.0,30,681,nan
3813,Mohamed Azzam,e43c9818,Maldives,Batter,,0,0,0.0,30,231,nan
3814,J Mees,ab1445ea,Luxembourg,Batter,,0,0,0.0,30,606,nan
3815,L Canessane,72a4c3b2,France,Batter,,0,0,0.0,30,413,nan
3816,Shoaib Khan,21afb939,United Arab Emirates,Batter,,0,0,0.0,30,379,nan
3817,D Gumyusenge,eeb78e0a,Rwanda,Batter,,0,0,0.0,30,445,nan
3818,SE Gotch,9a0e4ca5,Australia,Batter,,0,0,0.0,30,377,nan
3819,JN Malan,f76d7466,South Africa,Batter,,0,0,0.0,29,904,nan
3820,V Mbazo,a2317d14,Botswana,Batter,,0,0,0.0,29,288,nan
3821,Ainool Hafizs,1bada9da,Malaysia,Batter,,0,0,0.0,29,184,nan
3822,M Coetzee,3f149080,Hong Kong,Batter,,0,0,0.0,29,528,nan
3823,AWJ Auguste,4b167ede,West Indies,Batter,,0,0,0.0,29,549,nan
3824,Abishek Porel,ad3b6e95,India,Batter,,0,0,0.0,29,661,nan
3825,Chirag Suri,6176f240,United Arab Emirates,Batter,,0,0,0.0,28,740,nan
3826,K Doriga,365229a8,Papua New Guinea,Batter,,0,0,0.0,28,298,nan
3827,MB Kruger,c51add25,Namibia,Batter,,0,0,0.0,28,470,nan
3828,KU Carty,6020a3c6,West Indies,Batter,,0,0,0.0,28,602,nan
3829,Umar Amin,3029e282,Pakistan,Batter,,0,0,0.0,27,474,nan
3830,SJ Baard,e8511411,Namibia,Batter,,0,0,0.0,27,675,nan
3831,Muhammad Muneeb,5338b9f5,Belgium,Batter,,0,0,0.0,27,632,nan
3832,Parvez Hossain Emon,489aaf0a,Bangladesh,Batter,,0,0,0.0,27,537,nan
3833,S Chanderpaul,881a9bdd,West Indies,Batter,,0,0,0.0,27,379,nan
3834,AP Tare,855a210c,,Batter,,0,0,0.0,27,339,nan
3835,T Kelly,6ceb94d0,,Batter,,0,0,0.0,27,409,nan
3836,Shaiman Anwar,e9630504,United Arab Emirates,Batter,,0,0,0.0,26,723,nan
3837,B Bhandari,82342b13,Nepal,Batter,,0,0,0.0,26,363,nan
3838,R Tari,c4d19735,Vanuatu,Batter,,0,0,0.0,26,262,nan
3839,AA Onikoyi,409ce380,Nigeria,Batter,,0,0,0.0,26,372,nan
3840,J Barker,c18cecbe,Luxembourg,Batter,,0,0,0.0,26,409,nan
3841,RA Sealy,1e98804a,Cayman Islands,Batter,,0,0,0.0,26,425,nan
3842,Shahid Wasif,2cc08c3c,Hong Kong,Batter,,0,0,0.0,25,378,nan
3843,V Sibanda,0fdabe05,Zimbabwe,Batter,,0,0,0.0,25,498,nan
3844,P Baron,c6d1b1e4,Argentina,Batter,,0,0,0.0,25,576,nan
3845,T Manders,6d2b9724,Bermuda,Batter,,0,0,0.0,25,763,nan
3846,RGL Carters,f54c8804,,Batter,,0,0,0.0,25,274,nan
3847,AJ Hose,104e88a4,Pakistan,Batter,,0,0,0.0,25,456,nan
3848,J Blackwood,c3b93a03,West Indies,Batter,,0,0,0.0,25,387,nan
3849,Haris Sohail,7cd0a092,Pakistan,Batter,,0,0,0.0,24,363,nan
3850,Imam-ul-Haq,40c041ea,Pakistan,Batter,,0,0,0.0,24,563,nan
3851,MJ Richardson,22176fe7,Germany,Batter,,0,0,0.0,24,513,nan
3852,S Sohal,3fca55af,United States of America,Batter,,0,0,0.0,24,430,nan
3853,JJ Atkinson,bf2d865c,Hong Kong,Batter,,0,0,0.0,24,354,nan
3854,IDA Damarell,580ae7f2,Guernsey,Batter,,0,0,0.0,24,423,nan
3855,IA De Silva,58973aaf,Bulgaria,Batter,,0,0,0.0,24,539,nan
3856,TK Joseph,4fafd79a,Ghana,Batter,,0,0,0.0,24,147,nan
3857,KJ Stagno,46ad7e01,Gibraltar,Batter,,0,0,0.0,24,656,nan
3858,R Lutaaya,04e0cdec,Uganda,Batter,,0,0,0.0,24,371,nan
3859,CN Kakuru,f6aed283,Uganda,Batter,,0,0,0.0,24,209,nan
3860,TB Robinson,5d664346,New Zealand,Batter,,0,0,0.0,24,626,nan
3861,I Niyomugabo,72bf5103,Rwanda,Batter,,0,0,0.0,24,485,nan
3862,PJ Forrest,56c205b7,Australia,Batter,,0,0,0.0,24,478,nan
3863,TWM Latham,e824e6ee,New Zealand,Batter,,0,0,0.0,23,516,nan
3864,Mohammad Rizlan,82afc034,Qatar,Batter,,0,0,0.0,23,341,nan
3865,SS McKechnie,e6dd77bb,Hong Kong,Batter,,0,0,0.0,23,273,nan
3866,HA Jackson,ee40679e,France,Batter,,0,0,0.0,23,298,nan
3867,O Olaleye,811785d2,Nigeria,Batter,,0,0,0.0,23,347,nan
3868,S Hook,eba871dd,Estonia,Batter,,0,0,0.0,23,359,nan
3869,AS Samra,bf976fb0,Philippines,Batter,,0,0,0.0,23,564,nan
3870,Imran Nazir,3eb7c45d,Pakistan,Batter,,0,0,0.0,23,495,nan
3871,AK Mohan,d55474ac,Finland,Batter,,0,0,0.0,22,377,nan
3872,F Achelam,b6b3ee6e,Uganda,Batter,,0,0,0.0,22,169,nan
3873,C Brennan,80f9fd4f,Jersey,Batter,,0,0,0.0,22,289,nan
3874,A Patmore,85119526,Japan,Batter,,0,0,0.0,22,274,nan
3875,Mohammad Ihsan,510e33d3,Spain,Batter,,0,0,0.0,22,743,nan
3876,DR Patankar,e661915c,Malta,Batter,,0,0,0.0,22,291,nan
3877,MP Breetzke,35f173a0,South Africa,Batter,,0,0,0.0,22,326,nan
3878,JM Cox,ff154ecd,England,Batter,,0,0,0.0,22,469,nan
3879,Hammad Mirza,0b7b78c6,Oman,Batter,,0,0,0.0,22,401,nan
3880,AA Jangoo,88626ed2,West Indies,Batter,,0,0,0.0,22,494,nan
3881,M Kaif,d84378a4,Pakistan,Batter,,0,0,0.0,22,259,nan
3882,DB Das,7050a1e7,India,Batter,,0,0,0.0,22,304,nan
3883,CA Pujara,d4f9dbd4,India,Batter,,0,0,0.0,22,390,nan
3884,UBT Chand,0c94f480,,Batter,,0,0,0.0,22,335,nan
3885,AJ Doolan,36eafb02,,Batter,,0,0,0.0,22,388,nan
3886,PJ van Biljon,4025c262,South Africa,Batter,,0,0,0.0,21,415,nan
3887,Aaftab Alam Khan,9dbc77b3,Malta,Batter,,0,0,0.0,21,241,nan
3888,A Randhawa,1798078c,Austria,Batter,,0,0,0.0,21,234,nan
3889,Aslam Khan,31080a88,Malaysia,Batter,,0,0,0.0,21,381,nan
3890,S Rungrueang,35ae9e8a,Thailand,Batter,,0,0,0.0,21,89,nan
3891,MN van Wyk,710dd98c,South Africa,Batter,,0,0,0.0,21,603,nan
3892,HG Kuhn,ede05b97,South Africa,Batter,,0,0,0.0,21,347,nan
3893,SP Goswami,541f85c9,India,Batter,,0,0,0.0,21,293,nan
3894,Anuj Rawat,c8f5f961,India,Batter,,0,0,0.0,21,318,nan
3895,VB Chikkannaiah,8e81b773,Germany,Batter,,0,0,0.0,20,416,nan
3896,Hamza Tariq,82e81007,Canada,Batter,,0,0,0.0,20,235,nan
3897,N Khanna,0ec6a7c3,Malta,Batter,,0,0,0.0,20,213,nan
3898,Faisal Mubashir,ad5342dc,Germany,Batter,,0,0,0.0,20,428,nan
3899,A Shreshta,4e9af8f6,Nigeria,Batter,,0,0,0.0,20,361,nan
3900,S Movva,ee229588,Canada,Batter,,0,0,0.0,20,346,nan
3901,J Jemison,ce1abd25,Bahamas,Batter,,0,0,0.0,20,149,nan
3902,NJ O'Brien,84826f48,Ireland,Batter,,0,0,0.0,20,316,nan
3903,DP Hyatt,2e2fe3e8,West Indies,Batter,,0,0,0.0,20,294,nan
3904,Nasir Jamshed,4c4a06fb,Pakistan,Batter,,0,0,0.0,20,367,nan
3905,A Manohar,0890552f,,Batter,,0,0,0.0,20,292,nan
3906,VVS Laxman,de8cce37,,Batter,,0,0,0.0,20,282,nan
3907,Yasir Khan,4f1bb625,Pakistan,Batter,,0,0,0.0,20,496,nan
3908,M Mosehle,8836fcac,South Africa,Batter,,0,0,0.0,19,268,nan
3909,Khalid Latif,5eea345c,Pakistan,Batter,,0,0,0.0,19,443,nan
3910,LB Ferbrache,0f72f582,Guernsey,Batter,,0,0,0.0,19,258,nan
3911,Anwar Arudin,6d24561a,Malaysia,Batter,,0,0,0.0,19,180,nan
3912,Aminuddin Ramly,8cae5b48,Malaysia,Batter,,0,0,0.0,19,249,nan
3913,Imran Ali Butt,5d60560f,Bahrain,Batter,,0,0,0.0,19,413,nan
3914,WA Young,8afe73e2,New Zealand,Batter,,0,0,0.0,19,344,nan
3915,Saud Islam,ae5a7eb5,Uganda,Batter,,0,0,0.0,19,452,nan
3916,PA Raikes,dfe5db8a,Gibraltar,Batter,,0,0,0.0,19,537,nan
3917,A Ferguson,4a8d1b14,Argentina,Batter,,0,0,0.0,19,425,nan
3918,Dylan Steyn,ff2b190e,Czech Republic,Batter,,0,0,0.0,19,535,nan
3919,Anamul Haque,72b245dd,Bangladesh,Batter,,0,0,0.0,19,399,nan
3920,A Raza,838bc6ab,Belgium,Batter,,0,0,0.0,19,316,nan
3921,JP Kaltapau,d8dccff5,Vanuatu,Batter,,0,0,0.0,19,326,nan
3922,Shayan Jahangir,571e1d2a,United States of America,Batter,,0,0,0.0,19,372,nan
3923,RE Levi,18c78b11,South Africa,Batter,,0,0,0.0,19,319,nan
3924,HDRL Thirimanne,c5928dec,Sri Lanka,Batter,,0,0,0.0,19,285,nan
3925,PK Garg,bb965e9a,,Batter,,0,0,0.0,19,273,nan
3926,SA Asnodkar,ae091d39,India,Batter,,0,0,0.0,19,423,nan
3927,JR Dean,97188292,,Batter,,0,0,0.0,19,317,nan
3928,M Wright,bd920a2c,Australia,Batter,,0,0,0.0,19,464,nan
3929,R Mutumbami,5fef85ee,Zimbabwe,Batter,,0,0,0.0,18,264,nan
3930,XM Marshall,ffb504b1,West Indies,Batter,,0,0,0.0,18,261,nan
3931,CN Onwuzulike,715dbf27,Nigeria,Batter,,0,0,0.0,18,222,nan
3932,A McAuley,39e599c8,Isle of Man,Batter,,0,0,0.0,18,304,nan
3933,Mirza Ahsan,6b74c13b,Austria,Batter,,0,0,0.0,18,293,nan
3934,OB Nightingale,1deb4c0c,Guernsey,Batter,,0,0,0.0,18,310,nan
3935,Divyendra Singh,7f122e0b,Czech Republic,Batter,,0,0,0.0,18,279,nan
3936,Mukhtar Ghulami,d3b1d991,France,Batter,,0,0,0.0,18,271,nan
3937,Khalid Kail,3ee90b67,Oman,Batter,,0,0,0.0,18,294,nan
3938,Shahzaib Jamil,fbb6d1a7,Qatar,Batter,,0,0,0.0,18,364,nan
3939,SR Mukkamalla,156d0ea2,United States of America,Batter,,0,0,0.0,18,639,nan
3940,Muhammad Umar,0abc33ff,Kuwait,Batter,,0,0,0.0,18,281,nan
3941,J Andrew,6b0db726,West Indies,Batter,,0,0,0.0,18,362,nan
3942,IR Bell,33155d1b,England,Batter,,0,0,0.0,18,473,nan
3943,A Raghuvanshi,d7017798,India,Batter,,0,0,0.0,18,463,nan
3944,Ashutosh Sharma,84d9c311,India,Batter,,0,0,0.0,18,393,nan
3945,Priyansh Arya,b5797845,Pakistan,Batter,,0,0,0.0,18,545,nan
3946,Hazratullah,5ea51c25,Pakistan,Batter,,0,0,0.0,18,417,nan
3947,TIF Triffitt,593513d5,Australia,Batter,,0,0,0.0,18,173,nan
3948,TC Bruce,f92c9151,New Zealand,Batter,,0,0,0.0,17,279,nan
3949,AJ Ayannaike,f74b682b,Nigeria,Batter,,0,0,0.0,17,115,nan
3950,M Bhanuka,684d21d7,Sri Lanka,Batter,,0,0,0.0,17,248,nan
3951,P Suanchuai,e6948355,Thailand,Batter,,0,0,0.0,17,168,nan
3952,C Hartmann,467c28f9,Isle of Man,Batter,,0,0,0.0,17,208,nan
3953,Ali Farasat,5845b99b,Hungary,Batter,,0,0,0.0,17,200,nan
3954,Jordan O'Brien,c31d7da1,Finland,Batter,,0,0,0.0,17,194,nan
3955,PS Athavale,c2f12310,Oman,Batter,,0,0,0.0,17,364,nan
3956,V Shukla,101b1180,Oman,Batter,,0,0,0.0,17,358,nan
3957,SY Nihute,56b41ed3,Malawi,Batter,,0,0,0.0,17,258,nan
3958,WKD Perkins,1920c721,West Indies,Batter,,0,0,0.0,17,275,nan
3959,MD Mishra,6afb26d6,,Batter,,0,0,0.0,17,237,nan
3960,DH Yagnik,063b3673,India,Batter,,0,0,0.0,17,170,nan
3961,MH Wessels,90f47cf2,Pakistan,Batter,,0,0,0.0,17,301,nan
3962,DJ Vilas,087210b1,Pakistan,Batter,,0,0,0.0,17,341,nan
3963,J Avendano,0af4a90b,Australia,Batter,,0,0,0.0,17,251,nan
3964,J Da Silva,bab78fa2,India,Batter,,0,0,0.0,17,380,nan
3965,Khurram Nawaz,07ff32f5,Oman,Batter,,0,0,0.0,16,227,nan
3966,Awais Ahmed,f9f857dc,Spain,Batter,,0,0,0.0,16,244,nan
3967,S Grover,c2a6e61f,Czech Republic,Batter,,0,0,0.0,16,142,nan
3968,HS Gericke,c28a293e,Malta,Batter,,0,0,0.0,16,387,nan
3969,NA Rock,43f4087c,Ireland,Batter,,0,0,0.0,16,160,nan
3970,Devender Singh,68e21fb1,Ghana,Batter,,0,0,0.0,16,207,nan
3971,A Halbhavi,df1b4c8f,Luxembourg,Batter,,0,0,0.0,16,191,nan
3972,Saim Hussain,d300d274,Bulgaria,Batter,,0,0,0.0,16,577,nan
3973,J Mosca,8f02f6a8,Italy,Batter,,0,0,0.0,16,361,nan
3974,Swann Htet Ko Ko,9ee21ee4,Myanmar,Batter,,0,0,0.0,16,76,nan
3975,Haseebullah Khan,5691931a,Pakistan,Batter,,0,0,0.0,16,220,nan
3976,Y Jalloh,7fe9a7e6,Sierra Leone,Batter,,0,0,0.0,16,234,nan
3977,Amar Naeem,f9dc404a,Austria,Batter,,0,0,0.0,16,240,nan
3978,SG Mangela,eb3c3cca,Uganda,Batter,,0,0,0.0,16,361,nan
3979,SR Hain,67b9536c,Australia,Batter,,0,0,0.0,16,260,nan
3980,LU Igalagamage,07b6c3c1,,Batter,,0,0,0.0,16,213,nan
3981,S Daniel,a38e7be7,,Batter,,0,0,0.0,16,324,nan
3982,PJ Moor,a1d3540a,Zimbabwe,Batter,,0,0,0.0,15,313,nan
3983,SW Poynter,cdf59953,Ireland,Batter,,0,0,0.0,15,152,nan
3984,Rameez Shahzad,e045c165,United Arab Emirates,Batter,,0,0,0.0,15,302,nan
3985,Abdul Hashim,73b1db79,Denmark,Batter,,0,0,0.0,15,131,nan
3986,Hassan Rasheed,1ca51098,Maldives,Batter,,0,0,0.0,15,173,nan
3987,R Gaznavi,0079f139,Singapore,Batter,,0,0,0.0,15,175,nan
3988,NG Collins,be3bdc15,Finland,Batter,,0,0,0.0,15,311,nan
3989,Idrees Ul Haque,d5b52676,Switzerland,Batter,,0,0,0.0,15,275,nan
3990,Lokesh Bam,75c8a26b,Nepal,Batter,,0,0,0.0,15,160,nan
3991,AJ Jabiri,90624d37,Tanzania,Batter,,0,0,0.0,15,122,nan
3992,Tayyab Tahir,431f8af4,Pakistan,Batter,,0,0,0.0,15,364,nan
3993,T de Zorzi,d3a1c63d,South Africa,Batter,,0,0,0.0,15,227,nan
3994,SP Fleming,eea6b7f1,New Zealand,Batter,,0,0,0.0,15,306,nan
3995,M Marais,7c18b36c,,Batter,,0,0,0.0,15,279,nan
3996,J Vira,2090e94d,Vanuatu,Batter,,0,0,0.0,14,101,nan
3997,Sachin Mandy,501fca0d,Germany,Batter,,0,0,0.0,14,166,nan
3998,JD Allan,3758028b,Vanuatu,Batter,,0,0,0.0,14,142,nan
3999,BKB Corbin,036b8660,Cayman Islands,Batter,,0,0,0.0,14,175,nan
4000,Mirza Baig,96ce6752,Pakistan,Batter,,0,0,0.0,14,292,nan
4001,NRJ Croes,f427e63e,Netherlands,Batter,,0,0,0.0,14,203,nan
4002,B Fitchet,d77ecd14,Guernsey,Batter,,0,0,0.0,14,179,nan
4003,Saghar Manzoor,9d103769,Croatia,Batter,,0,0,0.0,14,163,nan
4004,S Houghton,4895df9e,Croatia,Batter,,0,0,0.0,14,174,nan
4005,E Duff,b7873c81,Bahamas,Batter,,0,0,0.0,14,125,nan
4006,Kazim Somani,d2ebebbe,Malawi,Batter,,0,0,0.0,14,164,nan
4007,Shahzaib Hasan,fd201eb4,Pakistan,Batter,,0,0,0.0,14,180,nan
4008,Zeeshan Ashraf,4b345629,Pakistan,Batter,,0,0,0.0,14,226,nan
4009,WCF Smeed,4e18e961,Pakistan,Batter,,0,0,0.0,14,395,nan
4010,Z Crawley,922e1b19,Australia,Batter,,0,0,0.0,14,340,nan
4011,DLR Smith,0c5c3a87,,Batter,,0,0,0.0,14,72,nan
4012,Imrul Kayes,5fbe14fc,Bangladesh,Batter,,0,0,0.0,13,119,nan
4013,Mohammad Mithun,77191792,Bangladesh,Batter,,0,0,0.0,13,127,nan
4014,C Tommy,c6d4cff0,Vanuatu,Batter,,0,0,0.0,13,169,nan
4015,NJ Ferraby,c149b9ca,Jersey,Batter,,0,0,0.0,13,133,nan
4016,JE Dunford,89a7dd4a,Jersey,Batter,,0,0,0.0,13,96,nan
4017,SA Wijeratne,5fbd0632,Canada,Batter,,0,0,0.0,13,261,nan
4018,JD Freyone,7cd7eb50,Gibraltar,Batter,,0,0,0.0,13,105,nan
4019,N Knights,b0aadf4f,Isle of Man,Batter,,0,0,0.0,13,193,nan
4020,Abdul Shakoor (2),d52b13a6,Romania,Batter,,0,0,0.0,13,207,nan
4021,W Boshoff,cad11a02,Sweden,Batter,,0,0,0.0,13,175,nan
4022,ARA Chambers,8db27a28,Portugal,Batter,,0,0,0.0,13,216,nan
4023,JOP Scamans,4e56e796,Finland,Batter,,0,0,0.0,13,124,nan
4024,Abhishek Ahuja,65cf74b4,Hungary,Batter,,0,0,0.0,13,246,nan
4025,Kuldeep,61c48027,Portugal,Batter,,0,0,0.0,13,377,nan
4026,AJ Mosca,19c56e6e,Italy,Batter,,0,0,0.0,13,330,nan
4027,HGV Vare,98299b67,Papua New Guinea,Batter,,0,0,0.0,13,72,nan
4028,CJ Bowes,45df0e72,New Zealand,Batter,,0,0,0.0,13,222,nan
4029,S Cotter,e6127436,Samoa,Batter,,0,0,0.0,13,212,nan
4030,GR Adair,4ec96094,Ireland,Batter,,0,0,0.0,13,375,nan
4031,A Sharma,5661ef90,United Arab Emirates,Batter,,0,0,0.0,13,267,nan
4032,Nay Lin Htun,5319f95b,Myanmar,Batter,,0,0,0.0,13,35,nan
4033,Omair Yousuf,f8e3c0f8,Pakistan,Batter,,0,0,0.0,13,251,nan
4034,AK Sah,5b1d6583,Nepal,Batter,,0,0,0.0,13,218,nan
4035,G Ganbold,947346d8,Mongolia,Batter,,0,0,0.0,13,44,nan
4036,Manan Bashir,5c14bd52,Bulgaria,Batter,,0,0,0.0,13,352,nan
4037,BI Dilruksha,bf60e1d2,South Korea,Batter,,0,0,0.0,13,265,nan
4038,AD Dore,aa867444,Bermuda,Batter,,0,0,0.0,13,194,nan
4039,SH Venugopal,9f542219,Singapore,Batter,,0,0,0.0,13,249,nan
4040,EC Joyce,a48fc79d,England,Batter,,0,0,0.0,13,353,nan
4041,MA Carberry,8305580c,England,Batter,,0,0,0.0,13,353,nan
4042,TB de Bruyn,90d6cdea,South Africa,Batter,,0,0,0.0,13,219,nan
4043,CM Gautam,30a2649b,,Batter,,0,0,0.0,13,169,nan
4044,SS Eskinazi,75cbed9b,Australia,Batter,,0,0,0.0,13,258,nan
4045,KSA McKenzie,2b8f219a,West Indies,Batter,,0,0,0.0,13,154,nan
4046,GL Cloete,3bf40832,South Africa,Batter,,0,0,0.0,12,345,nan
4047,CP Rizwan,e5309baa,United Arab Emirates,Batter,,0,0,0.0,12,252,nan
4048,BBJL Perera,c8c9d60b,Italy,Batter,,0,0,0.0,12,272,nan
4049,A Otwani,6727fb4d,Uganda,Batter,,0,0,0.0,12,150,nan
4050,Shafiq Sharif,033ac24e,Malaysia,Batter,,0,0,0.0,12,190,nan
4051,TS Kamunhukamwe,4e1b4323,Zimbabwe,Batter,,0,0,0.0,12,259,nan
4052,G Manan,d7265622,Romania,Batter,,0,0,0.0,12,143,nan
4053,M Sohel Patel,40a5bcf9,Panama,Batter,,0,0,0.0,12,108,nan
4054,MPS Cheema,97181d1b,Austria,Batter,,0,0,0.0,12,106,nan
4055,SP Gomes,30acd4b7,Portugal,Batter,,0,0,0.0,12,386,nan
4056,Rohit Kumar,43462314,Romania,Batter,,0,0,0.0,12,161,nan
4057,KTK Rodrigo,a482add2,Maldives,Batter,,0,0,0.0,12,214,nan
4058,Tarun Sharma,1ba16d18,Mexico,Batter,,0,0,0.0,12,133,nan
4059,C Pyle,d278b70b,Gibraltar,Batter,,0,0,0.0,12,231,nan
4060,A Mundra,30ffaf85,Sweden,Batter,,0,0,0.0,12,265,nan
4061,P Zuze,04420914,Malawi,Batter,,0,0,0.0,12,71,nan
4062,LG Pretorius,60aa2db3,South Africa,Batter,,0,0,0.0,12,157,nan
4063,Tshering Tashi,596c60cf,Bhutan,Batter,,0,0,0.0,12,95,nan
4064,G Gune,5491a9ff,Singapore,Batter,,0,0,0.0,12,171,nan
4065,PG Fulton,10a2a1ff,New Zealand,Batter,,0,0,0.0,12,127,nan
4066,LE Bosman,73e749e1,South Africa,Batter,,0,0,0.0,12,270,nan
4067,DS Smith,85ad2217,West Indies,Batter,,0,0,0.0,12,282,nan
4068,MJ Prior,1200550f,England,Batter,,0,0,0.0,12,159,nan
4069,CK Coventry,a21ea40c,Zimbabwe,Batter,,0,0,0.0,12,127,nan
4070,KOA Powell,e012ad13,West Indies,Batter,,0,0,0.0,12,221,nan
4071,SP Patil,f5c198fb,United Arab Emirates,Batter,,0,0,0.0,12,179,nan
4072,Aniket Verma,a3b0600d,,Batter,,0,0,0.0,12,236,nan
4073,S Anirudha,95a2ea61,India,Batter,,0,0,0.0,12,136,nan
4074,P Dogra,2728e7e9,India,Batter,,0,0,0.0,12,127,nan
4075,Khawaja Nafay,3cf54e77,Pakistan,Batter,,0,0,0.0,12,234,nan
4076,A Bramble,eca0c288,West Indies,Batter,,0,0,0.0,12,78,nan
4077,CD Wallace,7b5c6c0b,Scotland,Batter,,0,0,0.0,11,104,nan
4078,HM Nicholls,03521fd3,New Zealand,Batter,,0,0,0.0,11,138,nan
4079,Rizwan Mahmood,56e771ef,Denmark,Batter,,0,0,0.0,11,158,nan
4080,O Bascome,3cc58287,Bermuda,Batter,,0,0,0.0,11,146,nan
4081,S Smith,18a0ba24,Bermuda,Batter,,0,0,0.0,11,34,nan
4082,Azhar Andani,b5bd99da,Portugal,Batter,,0,0,0.0,11,258,nan
4083,C Tlali,70841eab,Lesotho,Batter,,0,0,0.0,11,97,nan
4084,R Escobar,9fa5496f,Argentina,Batter,,0,0,0.0,11,164,nan
4085,MA Jones,05f96194,Scotland,Batter,,0,0,0.0,11,224,nan
4086,J Alegra,ac6be7ed,Philippines,Batter,,0,0,0.0,11,168,nan
4087,R Nath,126f1e28,Turkey,Batter,,0,0,0.0,11,158,nan
4088,N Chejay,a9e63549,Bhutan,Batter,,0,0,0.0,11,126,nan
4089,S Loday,448dab1a,Bhutan,Batter,,0,0,0.0,11,119,nan
4090,KM Awala,c6c7d01b,Ghana,Batter,,0,0,0.0,11,88,nan
4091,M Beitaki,3d29b5fc,Fiji,Batter,,0,0,0.0,11,135,nan
4092,Muhammad Yasin,57888f3c,Spain,Batter,,0,0,0.0,11,171,nan
4093,Saad Khan,28e0f645,Saudi Arabia,Batter,,0,0,0.0,11,168,nan
4094,M Machado,fd34bcb0,Portugal,Batter,,0,0,0.0,11,148,nan
4095,Y Naing Tun,97b109d2,Myanmar,Batter,,0,0,0.0,11,102,nan
4096,G Thakur,93720584,Malta,Batter,,0,0,0.0,11,224,nan
4097,B Namsrai,1d8a3ca6,Mongolia,Batter,,0,0,0.0,11,15,nan
4098,A Kainessie,c7acf05f,Sierra Leone,Batter,,0,0,0.0,11,153,nan
4099,Syed Haider,ab23a6a1,United Arab Emirates,Batter,,0,0,0.0,11,154,nan
4100,Rasheed Ali Mamadkhel,72c38d77,Slovenia,Batter,,0,0,0.0,11,147,nan
4101,A Harris,bbafa5d6,Bahamas,Batter,,0,0,0.0,11,25,nan
4102,Faisal Raza,dccb802c,Norway,Batter,,0,0,0.0,11,156,nan
4103,Md Ariyan,ff4805ee,Romania,Batter,,0,0,0.0,11,272,nan
4104,MA Ouma,0939c670,Kenya,Batter,,0,0,0.0,11,59,nan
4105,VB van Jaarsveld,890b877d,South Africa,Batter,,0,0,0.0,11,136,nan
4106,AB Barath,d3a3e82d,West Indies,Batter,,0,0,0.0,11,200,nan
4107,SB Dubey,6b2ff18f,India,Batter,,0,0,0.0,11,139,nan
4108,M Rawat,de8d3876,,Batter,,0,0,0.0,11,55,nan
4109,JS Lenton,8820c9ef,,Batter,,0,0,0.0,11,141,nan
4110,TM Beaton,f0ec8597,,Batter,,0,0,0.0,11,194,nan
4111,SD Parris,a63d0c5a,India,Batter,,0,0,0.0,11,207,nan
4112,Ghulam Shabber,ced0ec25,United Arab Emirates,Batter,,0,0,0.0,10,150,nan
4113,PS Airee,cc18ba92,Nepal,Batter,,0,0,0.0,10,79,nan
4114,AJ Staal,62c713bf,Netherlands,Batter,,0,0,0.0,10,107,nan
4115,Suraj Kumar,bb9d73d8,Oman,Batter,,0,0,0.0,10,114,nan
4116,A Manepalli,36101309,Luxembourg,Batter,,0,0,0.0,10,186,nan
4117,M Vaik,5335c5a7,Estonia,Batter,,0,0,0.0,10,58,nan
4118,SN Pathirana,f4000a7d,Cyprus,Batter,,0,0,0.0,10,51,nan
4119,Naeem Gull,4c49c917,Swaziland,Batter,,0,0,0.0,10,152,nan
4120,L Emilio,31adde7f,Mozambique,Batter,,0,0,0.0,10,84,nan
4121,R Davson,7804d401,Bahamas,Batter,,0,0,0.0,10,112,nan
4122,Yasir Ali Chowdhury,5791b840,Bangladesh,Batter,,0,0,0.0,10,120,nan
4123,Shahbaz Badar,23eedcd3,Bahrain,Batter,,0,0,0.0,10,81,nan
4124,T Sandeep,b794a78d,Eswatini,Batter,,0,0,0.0,10,174,nan
4125,Faheem Nellancheri,6513502f,Finland,Batter,,0,0,0.0,10,128,nan
4126,Shaof Hassan,f6e160d7,Maldives,Batter,,0,0,0.0,10,132,nan
4127,H Niaz,d0e2e8ea,France,Batter,,0,0,0.0,10,168,nan
4128,BM Pecic,71093272,Serbia,Batter,,0,0,0.0,10,231,nan
4129,MJ Hay,732f711b,New Zealand,Batter,,0,0,0.0,10,89,nan
4130,K Tathgur,f190c775,Canada,Batter,,0,0,0.0,10,129,nan
4131,Breeze Ahir,da09ca26,Panama,Batter,,0,0,0.0,10,102,nan
4132,Muhammad Haziq Aiman,1f13eba1,Malaysia,Batter,,0,0,0.0,10,246,nan
4133,AA Senn,719ac15b,Cyprus,Batter,,0,0,0.0,10,181,nan
4134,Jakir Patel,82b1e99f,Zambia,Batter,,0,0,0.0,10,179,nan
4135,Khurram Manzoor,82c78845,Pakistan,Batter,,0,0,0.0,10,195,nan
