id,name,city,country,total_matches,avg_first_inn_runs,avg_second_inn_runs,bat_factor,bowl_factor,pace_index,spin_index,boundary_rate
35,Old Trafford,Manchester,,13,166.69230769230768,130.5,1.0291408453254467,0.9716842981620931,0.8840579710144928,0.1159420289855072,0.17702805155420773
318,P Sara Oval,Colombo,,,,,,,,,
86,Pallekele International Cricket Stadium,Kandy,,49,168.14285714285714,150.40816326530611,1.0591682685138726,0.944137045762434,0.9041322314049587,0.09586776859504131,0.16883680555555555
72,Perth Stadium,Perth,,50,161.7,147.02,1.0298630314263026,0.971002909595712,0.9,0.09999999999999998,0.1545679433592084
99,Pierre Werner Cricket Ground,Walferdange,,6,163.33333333333334,123.33333333333333,1.0120765137521734,0.9880675881832285,0.8795180722891566,0.12048192771084343,0.1322930800542741
234,Prairie View Cricket Complex,Houston,,7,155.71428571428572,149.71428571428572,1.0008408314337336,0.9991598749698001,0.8953488372093024,0.10465116279069764,0.15641791044776118
83,"Providence Stadium, Guyana",Providence,,85,151.81176470588235,130.6144578313253,0.982271318463646,1.0180486604903451,0.8999037536092397,0.10009624639076031,0.14345641928634315
301,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,,67,169.56716417910448,159.1492537313433,1.0712319152146315,0.9335046741952611,0.8911022576361222,0.10889774236387784,0.17010470875916986
26,"Queen's Park Oval, Port of Spain",Trinidad,,60,149.85,138.03333333333333,0.9740953866554918,1.0265935078837098,0.8939597315436242,0.10604026845637582,0.13745510879515527
167,"Queens Sports Club, Bulawayo",Bulawayo,,23,153.7826086956522,128.34782608695653,0.9950778442733121,1.0049465031856704,0.8722044728434505,0.12779552715654952,0.12724935732647816
120,"R Premadasa Stadium, Colombo",Colombo,,102,149.35294117647058,133.3861386138614,0.9684452481851441,1.0325828970445041,0.8963963963963963,0.10360360360360366,0.1415722563348612
81,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,,86,167.1860465116279,155.63529411764705,1.0625966401900986,0.9410908732226934,0.8854271356783919,0.11457286432160807,0.1678016755670962
255,Rangiri Dambulla International Stadium,Dambulla,,15,176.4,163.66666666666666,1.0585077504400733,0.944726195518409,0.8894472361809045,0.11055276381909551,0.1815913501524813
100,Rawalpindi Cricket Stadium,,,52,179.07692307692307,157.44,1.1110525637410174,0.9000474258687697,0.9230769230769231,0.07692307692307687,0.1971153846153846
12,Riverside Ground,Chester-le-Street,,5,163.2,150.4,1.010294502684331,0.9898103942395224,0.9142857142857143,0.08571428571428574,0.15004122011541632
238,Roma Cricket Ground,Spinaceto,,12,140.91666666666666,112.33333333333333,0.9654641582789557,1.0357712313035092,0.9428571428571428,0.05714285714285716,0.12277515437704323
173,"Royal Brussels Cricket Club Ground, Waterloo",Waterloo,,10,154.9,136.8,0.9993322964236405,1.0006681497023053,0.8865248226950354,0.11347517730496459,0.14864300626304802
258,"Ruaraka Sports Club Ground, Nairobi",Nairobi,,6,195.0,85.83333333333333,1.059158851975711,0.944145439689846,0.9012345679012346,0.09876543209876543,0.16437364228819695
28,"Sabina Park, Kingston",Jamaica,,37,163.43243243243242,143.97297297297297,1.0343840609585426,0.9667589029487949,0.906183368869936,0.093816631130064,0.1545773452529139
194,Sano International Cricket Ground,Sano,,21,143.61904761904762,75.95238095238095,0.9617469363462026,1.0397745625259027,0.8877887788778878,0.11221122112211224,0.10284705363054514
205,Santarem Cricket Ground,Albergaria,,6,163.66666666666666,128.0,1.0125721173124211,0.9875839783680889,0.8780487804878049,0.12195121951219512,0.13504155124653738
256,Sao Fernando Polo and Cricket Club,Seropedica,,,,,,,,,
288,"Sao Fernando Polo and Cricket Club, Campo Sede",Seropedica,,,,,,,,,
37,Saurashtra Cricket Association Stadium,Rajkot,,16,175.4375,156.75,1.057918597694476,0.9452523116422207,0.8817204301075269,0.11827956989247312,0.17611548556430445
329,Sawai Mansingh Stadium,Jaipur,,65,165.5076923076923,152.7846153846154,1.050731062528126,0.95171831847622,0.8744650499286734,0.12553495007132665,0.1646807408366792
245,"Saxton Oval, Nelson",Nelson,,5,160.0,171.25,1.0061710810630695,0.9938667676111804,0.8888888888888888,0.11111111111111116,0.1827852998065764
124,"Scott Page Field, Vinor",Prague,,19,154.31578947368422,134.73684210526315,0.997190392369327,1.002817523766948,0.8502202643171806,0.14977973568281944,0.13411012108750286
22,Seddon Park,Hamilton,,13,179.92307692307693,163.3846153846154,1.062721741104659,0.9409800903861607,0.8843537414965986,0.11564625850340138,0.191958495460441
249,"Selangor Turf Club, Kuala Lumpur",Kuala Lumpur,,7,135.0,132.14285714285714,0.9662403606534732,1.0349391732339717,0.8202247191011236,0.1797752808988764,0.11433868974042027
24,Senwes Park,Potchefstroom,,,,,,,,,
335,Shaheed Veer Narayan Singh International Stadium,Raipur,,7,150.28571428571428,145.28571428571428,0.9917731218499413,1.0082951211005933,0.8947368421052632,0.10526315789473684,0.1451516954193932
136,Sharjah Cricket Stadium,Sharjah,,87,155.1264367816092,143.38372093023256,0.9995575087696226,1.0004426871155438,0.901593252108716,0.09840674789128401,0.14668104716148642
324,Sheikh Abu Naser Stadium,Khulna,,,,,,,,,
18,Sheikh Zayed Stadium,Abu Dhabi,,90,151.06666666666666,138.44444444444446,0.9781539824242882,1.0223339248914245,0.8835304822565969,0.11646951774340308,0.13844490409928545
307,"Shere Bangla National Stadium, Mirpur",Mirpur,,60,143.93333333333334,125.83333333333333,0.9455052562736989,1.0576355798814578,0.8775773195876289,0.12242268041237114,0.1311579392487138
